run_kind,policy_step,expected_target_present_for_audit,raw_sensor_detection_count,accepted_candidate_count,teammate_rejected_count,fused_candidate_count,fused_candidates,shared_found_this_step,new_found_this_step,found_mask_before,outcome,candidate_fusion_called,live_capture_primary_detection_source,replay_events_used_for_detection,truth_used_for_detection,actor_truth_used_for_detection,target_truth_used_for_detection,teammate_truth_used_for_detection
target,1,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,2,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,3,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,4,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,5,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,6,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,7,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,8,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,9,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,10,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,11,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,12,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,13,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,14,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,15,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,16,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,17,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,18,True,0,0,0,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,19,True,25,0,25,0,[],False,False,[false],false_negative,True,True,False,False,False,False,False
target,20,True,57,33,24,1,"[{""candidate_count"": 33, ""cluster_id"": 0, ""confirmed_static_target_candidate_for_audit"": true, ""fused_world_position"": [-269.67871801858416, 221.07716365456264, 0.0], ""positions"": [[-269.5392285816549, 221.08480323674675, 0.0], [-269.5442631439231, 221.12672864830296, 0.0], [-269.55460455095886, 221.17190148633085, 0.0], [-269.5258242128599, 221.01728348252385, 0.0], [-269.5250578516105, 221.06071986547272, 0.0], [-269.5290474829728, 221.10699797083805, 0.0], [-269.5387476108152, 221.1562572829873, 0.0], [-269.55570435031416, 221.2087754772811, 0.0], [-269.5824608512723, 221.26519434371002, 0.0], [-269.6246595363565, 221.32765511020878, 0.0], [-269.6985174281339, 221.40090546184018, 0.0], [-269.67575347643515, 220.73318845583077, 0.0], [-269.59303086328606, 221.05653735688753, 0.0], [-269.6408532017199, 221.16328157695773, 0.0], [-269.6547404582376, 220.81653140568957, 0.0], [-269.62875642410125, 220.91653784856604, 0.0], [-269.75653220722427, 221.24809147077372, 0.0], [-269.6683835496106, 221.1111247673357, 0.0], [-269.7449059107922, 221.20508924839856, 0.0], [-269.67315592814384, 221.05690297079937, 0.0], [-269.7199936095687, 221.13849832441096, 0.0], [-269.81082451223216, 221.21554169114742, 0.0], [-269.7006850104274, 221.04375668881224, 0.0], [-269.7354243205926, 221.10518779608316, 0.0], [-269.71710463931703, 220.91626130869108, 0.0], [-269.7196080609142, 220.96217593581235, 0.0], [-269.8870074895569, 220.74770072616965, 0.0], [-269.8413417749237, 220.77904933985053, 0.0], [-269.7655321241309, 221.05756074827124, 0.0], [-269.7859082240923, 221.07551047403396, 0.0], [-269.8052534732532, 221.08692472070427, 0.0], [-269.8215437593227, 221.09214071715564, 0.0], [-269.8332399945254, 221.0915846619431, 0.0]], ""reporter_usv_ids"": [""sv0""], ""target_position_error_m"": 0.33041843345665245}]",True,True,[false],true_positive,True,True,False,False,False,False,False
teammate_only,1,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,2,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,3,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,4,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,5,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,6,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,7,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,8,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,9,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,10,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,11,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,12,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,13,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,14,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,15,False,3,0,3,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,16,False,23,0,23,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,17,False,19,0,19,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,18,False,1,0,1,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,19,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
teammate_only,20,False,0,0,0,0,[],False,False,[false],true_negative,True,True,False,False,False,False,False
