1,"[1, 1]","[-192.47927856445312, 194.6820068359375]","[20, 20]","[-100.0, 100.0]","[-98.5934066772461, 99.71331787109375, 0.1728365570306778]","[20, 20]",10,0.9273007996583619,"[[1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[1, 2]","[-190.0, 195.0]","[-192.47927856445312, 194.6820068359375, 0.16255292296409607]","[1, 2]",True,False,75,2.4995883366160974,0,0,0,[False],[None],0.9999999999999998,1.0,0.9148519323210821,True,initial_plan|commit_expired|segment_empty,"[37, 38]","[40, 40]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
2,"[1, 2]","[-189.9626922607422, 192.49850463867188]","[20, 20]","[-100.0, 100.0]","[-99.36361694335938, 99.63092041015625, 0.1648397445678711]","[20, 20]",10,1.4544314518794332,"[[1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 2]","[-190.0, 190.0]","[-189.9626922607422, 192.49850463867188, 0.16326017677783966]","[2, 2]",True,False,176,2.498783163236339,0,0,0,[False],[None],1.0,1.0,0.9420469965839596,False,none,"[37, 38]","[40, 40]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
3,"[2, 2]","[-187.4911346435547, 189.89944458007812]","[20, 20]","[-100.0, 100.0]","[-99.7306900024414, 99.85734558105469, 0.16082783043384552]","[20, 20]",10,0.7024987725635667,"[[2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 3]","[-185.0, 190.0]","[-187.4911346435547, 189.89944458007812, 0.1686359941959381]","[2, 3]",True,False,195,2.4931632928458587,0,0,0,[False],[None],1.0,1.0,0.9405179007166709,False,none,"[37, 38]","[40, 40]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
4,"[2, 3]","[-182.48533630371094, 189.89950561523438]","[20, 20]","[-100.0, 100.0]","[-99.86640167236328, 99.92872619628906, 0.16084682941436768]","[20, 20]",10,0.2932644148841443,"[[2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 4]","[-180.0, 190.0]","[-182.48533630371094, 189.89950561523438, 0.1668025553226471]","[2, 4]",True,False,207,2.4873672153329043,0,0,0,[False],[None],0.9999999999999999,1.0,0.9384408981080699,False,none,"[37, 38]","[40, 40]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
5,"[2, 4]","[-177.4925537109375, 189.83592224121094]","[20, 20]","[-100.0, 100.0]","[-99.90978240966797, 99.95188903808594, 0.16119617223739624]","[20, 20]",10,0.14771136219276385,"[[2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 5]","[-175.0, 190.0]","[-177.4925537109375, 189.83592224121094, 0.16619959473609924]","[2, 5]",True,False,206,2.497948260640629,0,0,0,[False],[None],1.0000000000000002,1.0,0.9235897311520895,False,none,"[37, 38]","[40, 40]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
6,"[2, 5]","[-172.49407958984375, 189.83358764648438]","[20, 20]","[-100.0, 100.0]","[-99.92374420166016, 99.95933532714844, 0.16131556034088135]","[20, 20]",10,0.10104953566987973,"[[2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 6]","[-170.0, 190.0]","[-172.49407958984375, 189.83358764648438, 0.16572608053684235]","[2, 6]",True,False,206,2.4996251862784904,0,0,0,[False],[None],1.0000000000000002,1.0,0.936571742650439,True,commit_expired,"[38, 39]","[41, 41]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
7,"[2, 6]","[-167.48179626464844, 189.83059692382812]","[20, 20]","[-100.0, 100.0]","[-99.9282455444336, 99.96173858642578, 0.16132420301437378]","[20, 20]",10,0.08603174557891259,"[[2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 7]","[-165.0, 190.0]","[-167.48179626464844, 189.83059692382812, 0.16572308540344238]","[2, 7]",True,False,207,2.487571124900639,0,0,0,[False],[None],0.9999999999999997,1.0,0.9349222335731657,False,none,"[38, 39]","[41, 41]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
8,"[2, 7]","[-162.4902801513672, 189.8274688720703]","[20, 20]","[-100.0, 100.0]","[-99.92967987060547, 99.9625015258789, 0.16125085949897766]","[20, 20]",10,0.0811987484996414,"[[2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 8]","[-160.0, 190.0]","[-162.4902801513672, 189.8274688720703, 0.16561774909496307]","[2, 8]",True,False,206,2.4962496314267275,0,0,0,[False],[None],1.0,1.0,0.9339342512787149,False,none,"[38, 39]","[41, 41]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
9,"[2, 8]","[-157.49310302734375, 189.82395935058594]","[20, 20]","[-100.0, 100.0]","[-99.93013763427734, 99.9627456665039, 0.16123053431510925]","[20, 20]",10,0.07965940597900853,"[[2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 9]","[-155.0, 190.0]","[-157.49310302734375, 189.82395935058594, 0.16576576232910156]","[2, 9]",True,False,206,2.4993105079594846,0,0,0,[False],[None],1.0000000000000002,1.0,0.9328141684101805,False,none,"[38, 39]","[41, 41]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
10,"[2, 9]","[-152.48133850097656, 189.8214874267578]","[20, 20]","[-100.0, 100.0]","[-99.93028259277344, 99.96282196044922, 0.16125987470149994]","[20, 20]",10,0.07916439322006592,"[[2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 10]","[-150.0, 190.0]","[-152.48133850097656, 189.8214874267578, 0.1656898856163025]","[2, 10]",True,False,207,2.487751493866331,0,0,0,[False],[None],1.0000000000000002,1.0,0.9304620347220269,False,none,"[38, 39]","[41, 41]",search_info,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_mini,Phase 3C-1-mini short-run dynamic target synchronization smoke; not final long-horizon dynamic experiment.,OpenWater,algorithm_segment_path
